,material_id,band_gap,is_gap_direct,symmetry.crystal_system
33004,mp-brdwc,1.509,True,monoclinic
33005,mp-cqfbw,2.090499999999999,False,triclinic
33006,mp-bsfkl,2.1807,False,monoclinic
33007,mp-cqepj,5.3952,False,monoclinic
33008,mp-cgaxn,5.6015,False,orthorhombic
33009,mp-blow,3.820599999999999,False,monoclinic
33010,mp-cotfu,0.967399999999999,False,triclinic
33011,mp-blox,2.2203,False,triclinic
33012,mp-brckm,2.849,False,monoclinic
33013,mp-bhfm,1.044,False,monoclinic
33014,mp-bmjhw,0.15249999999999903,False,monoclinic
33015,mp-urx,1.8867,True,tetragonal
33016,mp-lgq,1.1973,False,orthorhombic
33017,mp-brgzj,1.3654,False,monoclinic
33018,mp-cdyvk,0.163499999999999,False,cubic
33019,mp-bfqlv,3.683,False,orthorhombic
33020,mp-cpkzp,0.0693,False,cubic
33021,mp-ckjxx,0.0274,False,orthorhombic
33022,mp-cpsgn,2.4532,True,monoclinic
33023,mp-ury,2.4964,True,tetragonal
33024,mp-cpakk,1.5326,False,orthorhombic
33025,mp-begsw,1.842,False,monoclinic
33026,mp-cpeob,0.0504,False,monoclinic
33027,mp-cphpu,0.9557000000000001,True,monoclinic
33028,mp-ckljf,0.7466,False,orthorhombic
33029,mp-cdpff,0.0398,False,tetragonal
33030,mp-brh,3.895399999999999,False,orthorhombic
33031,mp-bsj,3.3862,False,cubic
33032,mp-bwrj,1.875399999999999,False,trigonal
33033,mp-bfseo,3.2657,False,hexagonal
33034,mp-bpebg,1.9206999999999992,False,triclinic
33035,mp-cgaxh,5.7164,True,orthorhombic
33036,mp-croqa,3.9196,False,cubic
33037,mp-gtg,6.0132,False,monoclinic
33038,mp-bfuag,5.9904,False,orthorhombic
33039,mp-bmnbv,5.7329,True,triclinic
33040,mp-bmyob,3.967399999999999,True,monoclinic
33041,mp-brxsu,3.2925,False,monoclinic
33042,mp-bselx,3.7853,False,triclinic
33043,mp-breyv,3.857199999999999,False,monoclinic
33044,mp-cpako,4.0421,False,monoclinic
33045,mp-brskl,3.304,False,monoclinic
33046,mp-bselw,1.4659,False,orthorhombic
33047,mp-brtuv,4.4629,False,orthorhombic
33048,mp-cpxfr,0.2571,False,monoclinic
33049,mp-clfww,1.856599999999999,False,cubic
33050,mp-brxua,2.9551,False,monoclinic
33051,mp-cpkxy,0.071799999999999,False,cubic
33052,mp-croyr,4.7658000000000005,False,monoclinic
33053,mp-brrdd,4.4658,False,monoclinic
33054,mp-djy,2.9746,False,cubic
33055,mp-cpzja,2.9444999999999992,False,orthorhombic
33056,mp-cpeys,3.5781,False,trigonal
33057,mp-cpfgu,1.2517,False,triclinic
33058,mp-het,3.9135,False,trigonal
33059,mp-bkzsr,0.5103,False,triclinic
33060,mp-blzdt,0.006999999999999001,False,triclinic
33061,mp-cpzgx,0.2336,True,orthorhombic
