name,entry_id,spacegroup,ntypes,band_gap,delta_e,stability
Yb2SO2,4357,Cmm2,3,0.0,-1.25341966715417,1.6701700557500059
Y2SO2,19839,P-3m1,3,3.246,-3.40174580115417,0.0017365859999998179
CrHO2,1904,R3m,3,2.84,-2.02700047330024,0.0
BaCeO3,5678,P4/mmm,3,0.0,-2.66969925902725,0.2659728095000058
LaCuO2,3696,R-3m,3,3.16,-2.60254310336113,0.0
Lu2O3,20298,P-3m1,2,4.472,-3.86784545552725,0.09378891099999986
Sm2O3,20291,P-3m1,2,4.304,-3.66320292452725,0.03782781025000004
KLaO2,5203,R-3m,3,3.962,-2.87337270668938,0.0
Ho2SeO2,4852,P-3m1,3,2.224,-3.30419831968483,0.00018169199999995556
TiO2,2475,P42/mnm,2,1.745,-3.21575255518126,0.02688833666666035
SnO2,2477,P42/mnm,2,1.201,-1.95348513953624,0.0031348716666637078
CeGaO3,13652,Pm-3m,3,0.0,-1.32906246602725,1.5249955585000023
BiOF,4524,P4/nmm,3,3.494,-2.09017786333662,0.02718363499999965
SmCuO2,3699,R-3m,3,3.123,-2.57170282773613,0.0
EuCuO2,3700,R-3m,3,0.0,-2.03705984836113,0.20422330749999995
TiCdO3,6317,Pm-3m,3,0.0,-0.489732622284506,1.991496361000004
Pr2SO2,19141,P-3m1,3,3.114,-3.27424789015417,0.0012851200000003615
Tb2SO2,19143,P-3m1,3,3.137,-3.16724036702084,0.00017524800000012775
K2NiO2,4050,I4/mmm,3,2.939,-1.31073326563904,0.0
NdCuO2,3698,R-3m,3,3.097,-2.52544053711113,0.0
RuCl2O,15019,Immm,3,0.0,-0.99057673177925,0.0
NiAg2O2,26237,C2/m,3,0.0,-0.576018266639038,0.060855272000000626
PrCuO2,3697,R-3m,3,3.158,-2.49943643273613,0.0
Yb2SeO2,4853,P-3m1,3,0.0,-2.2990017683515,0.5077385340000045
Y2BiO2,23908,I4/mmm,3,0.0,-2.8354411133515,0.0
CrPbO3,20288,P4/mmm,3,0.0,-1.7222623133791,0.14925200880000578
CaH2O2,3112,P-3m1,3,4.402,-2.06746166122517,0.0
Y2O3,20290,P-3m1,2,4.375,-3.73715441152725,0.07103994900000021
Sm2SO2,30893,P-3m1,3,3.091,-3.35580268215417,0.0013434119999997662
Gd2SO2,30396,P-3m1,3,3.128,-3.41419394415417,0.00011421200000016896
LaGaO3,13651,Pm-3m,3,0.0,-1.48675240852725,1.4657264865710882
NiH2O2,5455,P-3m1,3,3.844,-1.20308925851271,0.0040957309999980485
Ho2BiO2,23914,I4/mmm,3,0.0,-2.88547027068483,0.0
Rb2NiO2,12124,I4/mmm,3,2.823,-1.26725817163904,0.0
